tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N297WN,2007,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N298JB,2009,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N298WN,NA,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N29906,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N29917,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N299WN,NA,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
N301DV,2016,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N301FR,2016,Fixed wing multi engine,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N301NB,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N302AS,2003,Fixed wing multi engine,BOEING,737-990,2,149,NA,Turbo-fan
N302DN,2016,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N302NB,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N303DN,2016,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N303DQ,2008,Fixed wing multi engine,BOEING,737-732,2,149,NA,Turbo-fan
N303FR,2016,Fixed wing multi engine,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N30401,2001,Fixed wing multi engine,BOEING,737-924,2,191,NA,Turbo-fan
N304DN,2016,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N304DQ,2008,Fixed wing multi engine,BOEING,737-732,2,149,NA,Turbo-fan
N304FR,2016,Fixed wing multi engine,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N304JB,2009,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N305DN,2016,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N305FR,2016,Fixed wing multi engine,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N306DN,2016,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N306JB,2009,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N307DX,2016,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N307FR,2017,Fixed wing multi engine,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N307JB,2009,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N308DN,2016,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N308FR,2017,Fixed wing multi engine,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N309DE,2009,Fixed wing multi engine,BOEING,737-732,2,149,NA,Turbo-fan
N309DN,2016,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N309FR,2017,Fixed wing multi engine,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N309JB,2009,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N309US,1990,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N310DN,2016,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N310FR,2017,Fixed wing multi engine,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N310NW,1990,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N311DN,2016,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N311FR,2017,Fixed wing multi engine,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N311US,1990,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N312DN,2016,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N312FR,2017,Fixed wing multi engine,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N312US,1990,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N313DN,2016,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N313FR,2017,Fixed wing multi engine,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N313US,1990,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N31412,2002,Fixed wing multi engine,BOEING,737-924,2,191,NA,Turbo-fan
N314DN,2016,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N314NB,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N314US,1991,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N315DN,2016,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N315NB,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N315US,1991,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N316DN,2017,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N316FR,2017,Fixed wing multi engine,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N316JB,2009,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N316NB,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N316US,1991,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N317DN,2017,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N317FR,2017,Fixed wing multi engine,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N317JB,2010,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N317NB,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N317US,1991,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N318DX,2017,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N318JB,2010,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N318NB,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N318US,1991,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N319DN,2017,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N319NB,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N319US,1991,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N320DN,2017,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N320NB,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N320US,1991,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N321DH,2017,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N321NB,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N321US,1991,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N322DN,2017,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N322NB,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N322US,1991,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N323FR,NA,Fixed wing multi engine,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N323JB,2010,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N323NB,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N323US,1991,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N32404,2001,Fixed wing multi engine,BOEING,737-924,2,191,NA,Turbo-fan
N324DX,2017,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N324FR,NA,Fixed wing multi engine,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N324JB,2010,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N324NB,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N324US,1991,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N325DN,2017,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N325NB,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N325US,1991,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N326DN,NA,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N326NB,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N326US,1991,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N327DN,2017,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N327NB,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N327NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N328DN,2017,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N328JB,2011,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N328NB,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N328NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N329JB,2011,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N329NB,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N329NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N330NB,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N330NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N33103,1994,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N33132,1998,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N331NB,NA,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N331NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N33203,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N33209,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N33262,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N33264,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N33266,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N33284,2004,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N33286,2004,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N33289,2004,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N33292,NA,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N332NB,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N332NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N333NB,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N333NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,NA,Turbo-jet
N334JB,2011,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N334NB,2002,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N334NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N335NB,2002,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N335NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N336NB,2002,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N336NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N33714,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-fan
N337JB,2011,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N337NB,2002,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N337NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N338NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N338NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N339JB,2011,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N339NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N339NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N340NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N340NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N34110,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N34131,1998,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N34137,1999,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N341NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N341NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N34222,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N34282,2004,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N342NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N342NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N343NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N343NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N34455,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N34460,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N344AA,1992,Fixed wing multi engine,GULFSTREAM AEROSPACE,G-IV,2,22,NA,Turbo-fan
N344NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N344NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N345NB,NA,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N345NW,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N346JB,2011,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N346NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N347AA,1985,Rotorcraft,SIKORSKY,S-76A,2,14,NA,Turbo-shaft
N347NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N347NW,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N348JB,2012,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N348NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N348NW,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N349NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N349NW,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N350NA,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N351JB,2012,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N351NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N351NW,1997,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N35204,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N35236,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N35260,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N35271,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N352NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N352NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N353JB,2012,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N353NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N353NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N35407,2001,Fixed wing multi engine,BOEING,737-924,2,191,NA,Turbo-fan
N354JB,2013,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N354NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N354NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N354SW,1991,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N355JB,2013,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N355NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N355NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N356NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N357NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N357NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N358JB,2013,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N358NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N358NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N359NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N359NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N360HA,2016,Fixed wing multi engine,AIRBUS,A330-243,2,377,NA,Turbo-fan
N360NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N360NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N361HA,2017,Fixed wing multi engine,AIRBUS,A330-243,2,377,NA,Turbo-fan
N361NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N361NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N361VA,2013,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N36207,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N36247,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N36272,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N36280,2003,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N362NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N362NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N362SW,1992,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N362VA,2016,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N363NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N363NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N363VA,2016,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N36444,2010,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N36447,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N36469,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N36472,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N36476,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N364NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N364NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N364VA,2016,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N365NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N365NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N365VA,2016,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N366NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N366NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N367NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N368JB,2013,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N368NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N368NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N36915,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N369AA,1992,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N369NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N369NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N37018,2002,Fixed wing multi engine,BOEING,777-224,2,400,NA,Turbo-fan
N370HA,2014,Fixed wing multi engine,AIRBUS,A330-243,2,377,NA,Turbo-fan
N370NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N370NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N371CA,2003,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N371DA,1998,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N371NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,NA,Turbo-fan
N371NW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N37252,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37253,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37255,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37263,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37267,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37273,2001,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37274,2002,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37277,2002,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37281,2003,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37287,2004,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N37290,2004,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N372DA,1998,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N372NW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N3730B,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3731T,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3732J,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3733Z,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3734B,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3735D,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3736C,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3737C,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3738B,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3739P,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N373AA,1992,Fixed wing multi engine,BOEING,767-323,2,330,NA,Turbo-fan
N373DA,1998,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N373HA,2014,Fixed wing multi engine,AIRBUS,A330-243,2,377,NA,Turbo-fan
N373JB,2013,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N373NW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N37408,2001,Fixed wing multi engine,BOEING,737-924,2,191,NA,Turbo-fan
N37409,2001,Fixed wing multi engine,BOEING,737-924,2,191,NA,Turbo-fan
N3740C,2000,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N37413,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N37419,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N3741S,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N37420,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N37422,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N37427,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N3742C,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N37434,2009,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N37437,2009,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N3743H,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N3744F,2001,Fixed wing multi engine,BOEING,737-832,2,189,NA,Turbo-fan
N37456,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
